code,sppid,species,scinam,order,family,taxon,display
PIWO,PileatedWoodpecker,Pileated Woodpecker,Dryocopus pileatus,Piciformes,Picidae,birds,Pileated Woodpecker
PRFA,PrairieFalcon,Prairie Falcon,Falco mexicanus,Falconiformes,Falconidae,birds,Prairie Falcon
PSFL,PacificslopeFlycatcher,Pacific-slope Flycatcher,Empidonax difficilis,Passeriformes,Tyrannidae,birds,Pacific-slope Flycatcher
PUFI,PurpleFinch,Purple Finch,Carpodacus purpureus,Passeriformes,Fringillidae,birds,Purple Finch
PUMA,PurpleMartin,Purple Martin,Progne subis,Passeriformes,Hirundinidae,birds,Purple Martin
RBGR,RosebreastedGrosbeak,Rose-breasted Grosbeak,Pheucticus ludovicianus,Passeriformes,Cardinalidae,birds,Rose-breasted Grosbeak
RBGU,RingbilledGull,Ring-billed Gull,Larus delawarensis,Charadriiformes,Laridae,birds,Ring-billed Gull
RBNU,RedbreastedNuthatch,Red-breasted Nuthatch,Sitta canadensis,Passeriformes,Sittidae,birds,Red-breasted Nuthatch
RCKI,RubycrownedKinglet,Ruby-crowned Kinglet,Regulus calendula,Passeriformes,Regulidae,birds,Ruby-crowned Kinglet
RECR,RedCrossbill,Red Crossbill,Loxia curvirostra,Passeriformes,Fringillidae,birds,Red Crossbill
REDH,Redhead,Redhead,Aythya americana,Anseriformes,Anatidae,birds,Redhead
REVI,RedeyedVireo,Red-eyed Vireo,Vireo olivaceus,Passeriformes,Vireonidae,birds,Red-eyed Vireo
RNDU,RingneckedDuck,Ring-necked Duck,Aythya collaris,Anseriformes,Anatidae,birds,Ring-necked Duck
RNEP,RingneckedPheasant,Ring-necked Pheasant,Phasianus colchicus,Galliformes,Phasianidae,birds,Ring-necked Pheasant
RNGR,RedneckedGrebe,Red-necked Grebe,Podiceps grisegena,Podicipediformes,Podicipedidae,birds,Red-necked Grebe
RNPH,RedneckedPhalarope,Red-necked Phalarope,Phalaropus lobatus,Charadriiformes,Scolopacidae,birds,Red-necked Phalarope
RNSA,RednapedSapsucker,Red-naped Sapsucker,Sphyrapicus nuchalis,Piciformes,Picidae,birds,Red-naped Sapsucker
ROGO,RosssGoose,Ross's Goose,Chen rossii,Anseriformes,Anatidae,birds,Ross's Goose
ROPI,RockPigeon,Rock Pigeon,Columba livia,Columbiformes,Columbidae,birds,Rock Pigeon
ROWR,RockWren,Rock Wren,Salpinctes obsoletus,Passeriformes,Troglodytidae,birds,Rock Wren
RTHA,RedtailedHawk,Red-tailed Hawk,Buteo jamaicensis,Accipitriformes,Accipitridae,birds,Red-tailed Hawk
RUBL,RustyBlackbird,Rusty Blackbird,Euphagus carolinus,Passeriformes,Icteridae,birds,Rusty Blackbird
RUDU,RuddyDuck,Ruddy Duck,Oxyura jamaicensis,Anseriformes,Anatidae,birds,Ruddy Duck
RUGR,RuffedGrouse,Ruffed Grouse,Bonasa umbellus,Galliformes,Phasianidae,birds,Ruffed Grouse
RWBL,RedwingedBlackbird,Red-winged Blackbird,Agelaius phoeniceus,Passeriformes,Icteridae,birds,Red-winged Blackbird
SACR,SandhillCrane,Sandhill Crane,Grus canadensis,Gruiformes,Gruidae,birds,Sandhill Crane
SAPH,SaysPhoebe,Say's Phoebe,Sayornis saya,Passeriformes,Tyrannidae,birds,Say's Phoebe
SAVS,SavannahSparrow,Savannah Sparrow,Passerculus sandwichensis,Passeriformes,Emberizidae,birds,Savannah Sparrow
SBDO,ShortbilledDowitcher,Short-billed Dowitcher,Limnodromus griseus,Charadriiformes,Scolopacidae,birds,Short-billed Dowitcher
SEOW,ShortearedOwl,Short-eared Owl,Asio flammeus,Strigiformes,Strigidae,birds,Short-eared Owl
SEPL,SemipalmatedPlover,Semipalmated Plover,Charadrius semipalmatus,Charadriiformes,Charadriidae,birds,Semipalmated Plover
SEWR,SedgeWren,Sedge Wren,Cistothorus platensis,Passeriformes,Troglodytidae,birds,Sedge Wren
SMLO,SmithsLongspur,Smith's Longspur,Calcarius pictus,Passeriformes,Calcariidae,birds,Smith's Longspur
SNBU,SnowBunting,Snow Bunting,Plectrophenax nivalis,Passeriformes,Calcariidae,birds,Snow Bunting
SNGO,SnowGoose,Snow Goose,Chen caerulescens,Anseriformes,Anatidae,birds,Snow Goose
SORA,Sora,Sora,Porzana carolina,Gruiformes,Rallidae,birds,Sora
SOSA,SolitarySandpiper,Solitary Sandpiper,Tringa solitaria,Charadriiformes,Scolopacidae,birds,Solitary Sandpiper
SOSP,SongSparrow,Song Sparrow,Melospiza melodia,Passeriformes,Emberizidae,birds,Song Sparrow
SPGR,SpruceGrouse,Spruce Grouse,Falcipennis canadensis,Galliformes,Phasianidae,birds,Spruce Grouse
SPPI,SpraguesPipit,Sprague's Pipit,Anthus spragueii,Passeriformes,Motacillidae,birds,Sprague's Pipit
SPSA,SpottedSandpiper,Spotted Sandpiper,Actitis macularius,Charadriiformes,Scolopacidae,birds,Spotted Sandpiper
SPTO,SpottedTowhee,Spotted Towhee,Pipilo maculatus,Passeriformes,Emberizidae,birds,Spotted Towhee
SSHA,SharpshinnedHawk,Sharp-shinned Hawk,Accipiter striatus,Accipitriformes,Accipitridae,birds,Sharp-shinned Hawk
STGR,SharptailedGrouse,Sharp-tailed Grouse,Tympanuchus phasianellus,Galliformes,Phasianidae,birds,Sharp-tailed Grouse
STJA,StellersJay,Steller's Jay,Cyanocitta stelleri,Passeriformes,Corvidae,birds,Steller's Jay
SWHA,SwainsonsHawk,Swainson's Hawk,Buteo swainsoni,Accipitriformes,Accipitridae,birds,Swainson's Hawk
SWSP,SwampSparrow,Swamp Sparrow,Melospiza georgiana,Passeriformes,Emberizidae,birds,Swamp Sparrow
SWTH,SwainsonsThrush,Swainson's Thrush,Catharus ustulatus,Passeriformes,Turdidae,birds,Swainson's Thrush
TEWA,TennesseeWarbler,Tennessee Warbler,Oreothlypis peregrina,Passeriformes,Parulidae,birds,Tennessee Warbler
TOSO,TownsendsSolitaire,Townsend's Solitaire,Myadestes townsendi,Passeriformes,Turdidae,birds,Townsend's Solitaire
TOWA,TownsendsWarbler,Townsend's Warbler,Setophaga townsendi,Passeriformes,Parulidae,birds,Townsend's Warbler
TRES,TreeSwallow,Tree Swallow,Tachycineta bicolor,Passeriformes,Hirundinidae,birds,Tree Swallow
TRUS,TrumpeterSwan,Trumpeter Swan,Cygnus buccinator,Anseriformes,Anatidae,birds,Trumpeter Swan
TUSW,TundraSwan,Tundra Swan,Cygnus columbianus,Anseriformes,Anatidae,birds,Tundra Swan
UPSA,UplandSandpiper,Upland Sandpiper,Bartramia longicauda,Charadriiformes,Scolopacidae,birds,Upland Sandpiper
VATH,VariedThrush,Varied Thrush,Ixoreus naevius,Passeriformes,Turdidae,birds,Varied Thrush
VEER,Veery,Veery,Catharus fuscescens,Passeriformes,Turdidae,birds,Veery
VESP,VesperSparrow,Vesper Sparrow,Pooecetes gramineus,Passeriformes,Emberizidae,birds,Vesper Sparrow
VGSW,VioletgreenSwallow,Violet-green Swallow,Tachycineta thalassina,Passeriformes,Hirundinidae,birds,Violet-green Swallow
VIRA,VirginiaRail,Virginia Rail,Rallus limicola,Gruiformes,Rallidae,birds,Virginia Rail
WAVI,WarblingVireo,Warbling Vireo,Vireo gilvus,Passeriformes,Vireonidae,birds,Warbling Vireo
WBNU,WhitebreastedNuthatch,White-breasted Nuthatch,Sitta carolinensis,Passeriformes,Sittidae,birds,White-breasted Nuthatch
WCSP,WhitecrownedSparrow,White-crowned Sparrow,Zonotrichia leucophrys,Passeriformes,Emberizidae,birds,White-crowned Sparrow
WEBL,WesternBluebird,Western Bluebird,Sialia mexicana,Passeriformes,Turdidae,birds,Western Bluebird
WEGR,WesternGrebe,Western Grebe,Aechmophorus occidentalis,Podicipediformes,Podicipedidae,birds,Western Grebe
WEKI,WesternKingbird,Western Kingbird,Tyrannus verticalis,Passeriformes,Tyrannidae,birds,Western Kingbird
WEME,WesternMeadowlark,Western Meadowlark,Sturnella neglecta,Passeriformes,Icteridae,birds,Western Meadowlark
WETA,WesternTanager,Western Tanager,Piranga ludoviciana,Passeriformes,Cardinalidae,birds,Western Tanager
WEWP,WesternWoodPewee,Western Wood-Pewee,Contopus sordidulus,Passeriformes,Tyrannidae,birds,Western Wood-Pewee
WHIM,Whimbrel,Whimbrel,Numenius phaeopus,Charadriiformes,Scolopacidae,birds,Whimbrel
WIFL,WillowFlycatcher,Willow Flycatcher,Empidonax traillii,Passeriformes,Tyrannidae,birds,Willow Flycatcher
WILL,Willet,Willet,Tringa semipalmata,Charadriiformes,Scolopacidae,birds,Willet
WIPH,WilsonsPhalarope,Wilson's Phalarope,Phalaropus tricolor,Charadriiformes,Scolopacidae,birds,Wilson's Phalarope
WISA,WilliamsonsSapsucker,Williamson's Sapsucker,Sphyrapicus thyroideus,Piciformes,Picidae,birds,Williamson's Sapsucker
WISN,WilsonsSnipe,Wilson's Snipe,Gallinago delicata,Charadriiformes,Scolopacidae,birds,Wilson's Snipe
WIWA,WilsonsWarbler,Wilson's Warbler,Cardellina pusilla,Passeriformes,Parulidae,birds,Wilson's Warbler
WIWR,WinterWren,Winter Wren,Troglodytes hiemalis,Passeriformes,Troglodytidae,birds,Winter Wren
WOTH,WoodThrush,Wood Thrush,Hylocichla mustelina,Passeriformes,Turdidae,birds,Wood Thrush
WTSP,WhitethroatedSparrow,White-throated Sparrow,Zonotrichia albicollis,Passeriformes,Emberizidae,birds,White-throated Sparrow
WWCR,WhitewingedCrossbill,White-winged Crossbill,Loxia leucoptera,Passeriformes,Fringillidae,birds,White-winged Crossbill
YBCH,YellowbreastedChat,Yellow-breasted Chat,Icteria virens,Passeriformes,Parulidae,birds,Yellow-breasted Chat
YBFL,YellowbelliedFlycatcher,Yellow-bellied Flycatcher,Empidonax flaviventris,Passeriformes,Tyrannidae,birds,Yellow-bellied Flycatcher
YBSA,YellowbelliedSapsucker,Yellow-bellied Sapsucker,Sphyrapicus varius,Piciformes,Picidae,birds,Yellow-bellied Sapsucker
YERA,YellowRail,Yellow Rail,Coturnicops noveboracensis,Gruiformes,Rallidae,birds,Yellow Rail
YEWA,YellowWarbler,Yellow Warbler,Setophaga petechia,Passeriformes,Parulidae,birds,Yellow Warbler
YHBL,YellowheadedBlackbird,Yellow-headed Blackbird,Xanthocephalus xanthocephalus,Passeriformes,Icteridae,birds,Yellow-headed Blackbird
YRWA,YellowrumpedWarbler,Yellow-rumped Warbler,Setophaga coronata,Passeriformes,Parulidae,birds,Yellow-rumped Warbler
