code,sppid,species,scinam,order,family,taxon,display
EVGR,EveningGrosbeak,Evening Grosbeak,Coccothraustes vespertinus,Passeriformes,Fringillidae,birds,Evening Grosbeak
FOSP,FoxSparrow,Fox Sparrow,Passerella iliaca,Passeriformes,Emberizidae,birds,Fox Sparrow
FOTE,ForstersTern,Forster's Tern,Sterna forsteri,Charadriiformes,Laridae,birds,Forster's Tern
FRGU,FranklinsGull,Franklin's Gull,Leucophaeus pipixcan,Charadriiformes,Laridae,birds,Franklin's Gull
GADW,Gadwall,Gadwall,Anas strepera,Anseriformes,Anatidae,birds,Gadwall
GBHE,GreatBlueHeron,Great Blue Heron,Ardea herodias,Pelecaniformes,Ardeidae,birds,Great Blue Heron
GCKI,GoldencrownedKinglet,Golden-crowned Kinglet,Regulus satrapa,Passeriformes,Regulidae,birds,Golden-crowned Kinglet
GCRF,GraycrownedRosyFinch,Gray-crowned Rosy-Finch,Leucosticte tephrocotis,Passeriformes,Fringillidae,birds,Gray-crowned Rosy-Finch
GCSP,GoldencrownedSparrow,Golden-crowned Sparrow,Zonotrichia atricapilla,Passeriformes,Emberizidae,birds,Golden-crowned Sparrow
GCTH,GraycheekedThrush,Gray-cheeked Thrush,Catharus minimus,Passeriformes,Turdidae,birds,Gray-cheeked Thrush
GGOW,GreatGrayOwl,Great Gray Owl,Strix nebulosa,Strigiformes,Strigidae,birds,Great Gray Owl
GHOW,GreatHornedOwl,Great Horned Owl,Bubo virginianus,Strigiformes,Strigidae,birds,Great Horned Owl
GRAJ,GrayJay,Gray Jay,Perisoreus canadensis,Passeriformes,Corvidae,birds,Gray Jay
GRAP,GrayPartridge,Gray Partridge,Perdix perdix,Galliformes,Phasianidae,birds,Gray Partridge
GRCA,GrayCatbird,Gray Catbird,Dumetella carolinensis,Passeriformes,Mimidae,birds,Gray Catbird
GRSC,GreaterScaup,Greater Scaup,Aythya marila,Anseriformes,Anatidae,birds,Greater Scaup
GRSP,GrasshopperSparrow,Grasshopper Sparrow,Ammodramus savannarum,Passeriformes,Emberizidae,birds,Grasshopper Sparrow
GRYE,GreaterYellowlegs,Greater Yellowlegs,Tringa melanoleuca,Charadriiformes,Scolopacidae,birds,Greater Yellowlegs
GWFG,GreaterWhitefrontedGoose,Greater White-fronted Goose,Anser albifrons,Anseriformes,Anatidae,birds,Greater White-fronted Goose
GWTE,GreenwingedTeal,Green-winged Teal,Anas crecca,Anseriformes,Anatidae,birds,Green-winged Teal
HAFL,HammondsFlycatcher,Hammond's Flycatcher,Empidonax hammondii,Passeriformes,Tyrannidae,birds,Hammond's Flycatcher
HASP,HarrissSparrow,Harris's Sparrow,Zonotrichia querula,Passeriformes,Emberizidae,birds,Harris's Sparrow
HAWO,HairyWoodpecker,Hairy Woodpecker,Picoides villosus,Piciformes,Picidae,birds,Hairy Woodpecker
HERG,HerringGull,Herring Gull,Larus argentatus,Charadriiformes,Laridae,birds,Herring Gull
HETH,HermitThrush,Hermit Thrush,Catharus guttatus,Passeriformes,Turdidae,birds,Hermit Thrush
HOFI,HouseFinch,House Finch,Carpodacus mexicanus,Passeriformes,Fringillidae,birds,House Finch
HOGR,HornedGrebe,Horned Grebe,Podiceps auritus,Podicipediformes,Podicipedidae,birds,Horned Grebe
HOLA,HornedLark,Horned Lark,Eremophila alpestris,Passeriformes,Alaudidae,birds,Horned Lark
HOME,HoodedMerganser,Hooded Merganser,Lophodytes cucullatus,Anseriformes,Anatidae,birds,Hooded Merganser
HOSP,HouseSparrow,House Sparrow,Passer domesticus,Passeriformes,Passeridae,birds,House Sparrow
HOWR,HouseWren,House Wren,Troglodytes aedon,Passeriformes,Troglodytidae,birds,House Wren
